FP_type,split_type,type,num_of_compounds,n_estimators,max_depth,min_samples_leaf,max_features,precision,se,sp,acc,mcc,auc_prc,auc_roc
ECFP4,random,tr,2080,100,9,3,0.8,0.9793351302785265,0.9356223175965666,0.9538152610441767,0.9410703547805171,0.8658929058554701,0.9957343327047357,0.9899684575210714
ECFP4,random,va,2080,100,9,3,0.8,0.9416058394160584,0.9020979020979021,0.8769230769230769,0.8942307692307693,0.7615253983700015,0.9637059497788197,0.9464228079612695
ECFP4,random,te,2080,100,9,3,0.8,0.95,0.8926174496644296,0.8833333333333333,0.8899521531100478,0.7464734606806642,0.9678908562452229,0.9478747203579418
